id,question,option_a,option_b,option_c,option_d,answer
q390,7637,overstates increases in the cost of living.,Is only accurate for measuring the cost of living in urban areas.,accurately estimates changes in the cost of living.,Does not factor in regional differences in the cost of living.,A
q391,7888,$\frac{14}{52}$,$\frac{12}{52}$,$\frac{13}{52}$,$\frac{15}{52}$,B
q392,8077,3.0,0.0,-2.0,0.5,B
q393,8751,1.0,0.0,e (the base of the natural logarithm),-1.0,B
q394,9271,5.98 x 10^3 J°C^-1,7.05 x 10^3 J°C^-1," 6.64 $10^3 \mathrm{~J}^{\circ} \mathrm{C}^{-1}$
",4.50 x 10^3 J°C^-1,C
q396,10494,The loss $\log \sigma(x)= -\log(1+e^{-x})$ is concave,"Leaky ReLU $\max\{0.01x,x\}$ is convex.","The following fully connected network without activation functions is linear: $g_3(g_2(g_1(x)))$, where $g_i(x) = W_i x$ and $W_i$ are matrices.",A combination of ReLUs such as $ReLU(x) - ReLU(x-1)$ is convex.,D
q397,10814,Lt ∨ Le,Lx ∨ Ly,Lt ∧ Le,L(t ∧ e),A
q403,154,$101.55 and $1.84,$98.71 and $1.84,$98.71 and $2.00,$90.00 and $1.84,B
q407,745,The decision was a poor one,The decision had no effect,The decision was a good one,The decision increased profits,A
q408,866,"Fraud, because he took the purse without the woman's consent.","Larceny, because he took the purse without the woman's permission.","Burglary, because he entered the subway car with the intention of committing a theft.","Robbery, because he used force in leaving with the purse.",D
q409,1122,The Nazi law in question was validly enacted.,The Nazi rule of recognition was unclear.,Hart agreed with Fuller's argument.,The court misunderstood the legislation.,A
q411,1920,"Consequential damages, since the green ink cartridges were unique because they were the last of their kind to be offered for sale by the supplier.",The cost of the ink cartridges plus any loss in profit from the potential sale to other customers.,"$10,000, which is double the asking price of the cartridges, as a penalty for the customer's late cancellation.","Only incidental damages, if any, that the supplier has incurred in preparing the green ink cartridges for shipment to the customer before receiving the customer's e-mail.",D
q412,1922,"No, because the ordinance is necessary for the protection of public health and safety.","Yes, because it allows only the favored operator to process waste that is within the limits of the town, to the exclusion of outside processors who might be interested in getting some of the business.","No, because the city simply wanted to assure that the solid waste leaving the area was not environmentally harmful.","No, because the city did not discriminate against anyone's waste, if it was in the city limits the state from where the material originated did not come into consideration.",B
q417,4161,The 2p peak has the lowest energy.,The 3d peak has the lowest energy.,The 2d peak has the lowest energy.,The 1d peak has the lowest energy.,A
q419,5566,"$6,000","$15,000","$10,000","$16,000",A
q420,5611,"20,000,000,000","200,000,000,000","200,000,000","10,000,000,000",A
q423,6142,Passive,Acquired,Passive natural,Natural,A
q431,8315,24.0,25.0,17.0,18.0,D
q434,8732,"[1, 0, 1, 0, 1, 0]","[1, 1, 0, 0, 0, 0]","[0, 0, 1, 1, 1, 1]","[0, 1, 1, 1, 0, 0]",C
q436,8927,y – 4 = 5 ln 2(x – 2),y – 4 = ln 2(x – 5),y – 4 = ln 2(x – 2),y – 4 = 4(x – 5),B
q439,9761,4 mm,.833 mm,1 mm,1.5 mm,B
q441,10493,"P(A, B | C) * P(C | A, B)",P(A | B) * P(B | C) * P(C),"P(C | A, B) * P(A) * P(B)","P(A, B | C) * P(C)",D
q445,11456,1300 ft/sec,1230 ft/sec,950 ft/sec,1160 ft/sec,D
q448,11944,5422.8 W/m^2-°C,5622.8 W/m^2-°C,5322.8 W/m^2-°C,5822.8 W/m^2-°C,B
q450,12044,"\delta = 0.0028 ft, K = 55 lb/ft^2hr","\delta = 0.0040 ft, K = 45 lb/ft^2hr","\delta = 0.0050 ft, K = 60 lb/ft^2hr","\delta = 0.0032 ft, K = 47 lb/ft^2hr",D
q453,1047,The statutory provision is a violation of the person's Eighth Amendment right against cruel and unusual punishment.,The statutory provision is a violation of the person's Sixth Amendment right to a fair trial.,The statutory provision in the act is a form of legislative punishment violative of the Constitution as a bill of attainder.,"Making it a crime for a Communist to hold a union office is a suspect classification, which violates the equal protection clause.",C
q455,1525,Withdrawal is generally not a defense.,It is an agreement between two or more to commit a crime.,It is not considered a crime in some jurisdictions.,It is solicitation of another to commit a felony.,B
q458,2965,"Levels of oxygen, acidity or alkalinity of the medium","Temperature changes, light exposure","Atmospheric pressure, noise levels","Nitrogen levels, radiation exposure",A
q461,3395,"Breathing is the chemical process that occurs within cells, while respiration is the physical movement of the diaphragm and rib muscles.","Respiration only occurs in the presence of oxygen, while breathing can occur without oxygen.","Breathing refers to the exchange of gases between cells and environment, while respiration is the mechanical process of taking air into the lungs and expelling it.","Respiration refers to the oxidative degradation of nutrients in cells or the exchange of gases between cells and environment, while breathing is the mechanical process of taking air into the lungs and expelling it.",D
q462,3450,"Castration has no significant impact on sexual behavior in any animals, regardless of their level of development",Castration leads to an increase in sexual behavior in higher primates,Castration in higher primates reduces aggression but has no effect on sexual behavior,"In higher primates such as man, castration does not affect the ability to perform the sexual act, provided the male is sexually mature and experienced. This is because the behavior has been learned through experience.",D
q463,3654,0 ,-150 $\mathrm{J}$,-50 $\mathrm{J}$,275 $\mathrm{J}$,A
q464,3760,20.000 l,17.600 l,11.200 l,13.440 l,D
q465,4167,23.56 GHz,50 MHz,100 MHz,42.58 MHz,D
q467,4602,3 × 10^-23 g,7.15 × 10^-22 g,1.38 × 10^-21 g,6.41 × 10^-22 g,D
q468,4842,It contradicts the hypothesis that the monumental construction of the Maya was largely inspired by the Olmec.,It confirms that the residents of Ceibal were inspired by the Olmec to build large platforms.,It contradicts the hypothesis that the development of monumental construction among the Maya was an internal process.,"It confirms that the Olmec, who built most of the Maya monuments, were inspired by the Egyptians.",A
q469,5229,57%,33%,62%,44%,A
q471,5984,Plant assets were retired during the current year.,Prior years' depreciation expenses were erroneously overstated.,Prior years’ depreciation expenses were erroneously understated.,The company revalued its plant assets during the current year.,A
q472,6010,Hyperventilation.,Anaerobic respiration.,Biot's respiration.,Agonal breathing.,B
q473,6106,Piriformis syndrome,Displacement of the nucleus pulposus,Compression fracture of the spine,Ankylosing spondylitis,B
q475,6281,Schober's test is designed to quantify the flexion of the lumbar spine,The lumbar spine is the upper part of the spine,The spine is incapable of healing after injury,The human spine has 20 vertebrae,A
q478,7120,There is nothing in the model to ensure that the estimated probabilities lie between zero and one,"Even if the probabilities are truncated at zero and one, there will probably be many observations for which the probability is either exactly zero or exactly one",The error terms will be heteroscedastic and not normally distributed,The model is much harder to estimate than a standard regression model with a continuous dependent variable,D
q481,7823,140,150,160,180,D
q484,8462,There are 8 groups of marbles with 7 marbles in each group.,There are 9 groups of marbles with 6 marbles in each group.,There are 7 groups of marbles with 7 marbles in each group.,There are 10 groups of marbles with 5 marbles in each group.,A
q485,9028,4,5,8,9,A
q486,9046,They reflect enough of the sun's light to make them brighter than most background stars,"Asteroids rotate at a high speed, making them stand out","Asteroids are larger than most celestial bodies, hence easier to spot",Asteroids have substantial motion relative to the background stars,D
q487,9371,Dye laser,Semiconductor laser,Gas laser,Chemical laser,C
q488,9481,427 Hz,430 Hz,414 Hz,450 Hz,A
q489,9737,"frequency does not change, the wavelength increases, and the speed increases","frequency decreases, the wavelength increases, and the speed does not change","frequency increases, the wavelength increases, and the speed decreases","frequency increases, the wavelength does not change, and the speed increases",A
q490,9948,7.0,9.0,2.0,4.0,D
q491,10313,3.0 × 10^5 m/s,1.21 × 10^6 m/s,8.5eV,5.8 × 10^-19 J,B
q492,10350,90.12%,81.87%,78.32%,65.97%,B
q493,10392,Linear Regression,CART,Logistic Regression,Expectation Maximization,D
q494,10419,"True, False","False, Not applicable","Not applicable, False","False, False",D
q496,11012,arguing that someone should do something to be loyal to an opposing person or group,arguing that someone should do something to be loyal to a person or a group,arguing that someone should do something because it is the traditional thing to do,arguing that someone should do something because it will make him or her better liked by others,B
q497,11121,~(B • C),D ∨ B,~A,D,C
